Image|Rating|Code|Name|Classification|Vintage|Region|Price|Country|Description|Stock|Type|Id|Size
Watermark2014 9Chateau Palmer 1985.jpg||M0000415|Palmer|3eme Cru|1985|Margaux|HK$ 1,950.0|France|A somewhat diffuse, open-knit, easygoing Palmer, with plenty of amber to its dark garnet color, the 1985 Palmer has reached full maturity. Low acidity, sweet cherry, plum and currant fruit intermixed with some licorice, mushroom, and damp earth jumps from the glass of this medium-weight, very fragrant, fruity wine. It lacks the concentration as well as length to be great, but it is a very seductive wine, as are so many 1985s.|0|Red wine|5347|750ml
Watermark2014DRC Romanee-Cont 1986 jpg.jpg|RP 95 |M0000122|DRC Romanee-Conti|Grand Cru|1986|Burgundy|HK$ 108,000.0|France||1|Red wine|5348|750ml
|RP 92 |M0000765|Penfolds Grange||1987|South Australia|HK$ 3,300.0|Australia||1|Red wine|5350|750ml
Watermark2014 9Tertre Roteboeuf 1995.jpg|RP 93 |M0000556|Tertre Roteboeuf|GCC (St. Emilion)|1988|St. Emilion|HK$ 1,330.0|France||12|Red wine|5351|750ml
||M0000562|Vieux Plateau Certan|AOC|1988|Pomerol|HK$ 800.0|France||6|Red wine|5352|750ml
|RP 90 |M0000764|Penfolds Grange||1988|South Australia|HK$ 3,900.0|Australia||0|Red wine|5353|750ml
Watermark2014 9Leoville Lascases 1989.jpg||M0000015|Leoville Las Cases|2eme Cru|1989|Saint Julien||France|Dark ruby, this wine offers up a somewhat internationally styled nose of new oak and ripe black currant fruit, with a hint of mineral and graphite. The wine is a medium weight, relatively elegant style of wine without nearly the power, density, and layers of concentration that the 1990 possesses. Anticipated maturity: Now-2016.|0|Red wine|5354|750ml
Watermark2014Dom. Rousseau Armand Chambertin Clos de Beze 1989 jpg.jpg|RP 93 |M0000124|Dom. Armand Rousseau Chambertin Clos de Beze|Grand Cru|1989|Burgundy|HK$ 9,500.0|France||1|Red wine|5355|750ml
Watermark2014 9Haut Brion 1989 JPEG.jpg|RP 86 |M0000365|Haut Brion|1er Cru|1989|Pessac Leognan|HK$ 13,500.0|France|The wine viscous-looking ruby/purple color, a spectacular, young but awesome smorgasbord of aromas ranging from scorched earth, liquid minerals, graphite, blackberry and black currant jam to toast, licorice, and spice box. The levels of fruit, extract, and glycerin in this viscous, full-bodied, low-acid wine are awe-inspiring. Anticipated maturity: 2005-2030.|0|Red wine|5356|750ml
Watermark2014 9Chateau Lafite Rothschild 1989 2.jpg|RP 96 |M0000378|Lafite Rothschild|1er Cru|1989|Pauillac|HK$ 7,500.0|France|This medium ruby-colored, medium-bodied wine reveals new oak in the nose, and a spicy finish. It is a quintessentially elegant, restrained, understated style of Lafite. Anticipated maturity: 2006-2025.|1|Red wine|5357|750ml
|RP 90 |M0000427|Trottevieille|1er GCC B|1989|St. Emilion|HK$ 1,600.0|France|The 1989 is an immensely impressive wine, exhibiting an opaque black color, and a sensational bouquet of licorice, chocolate, and super-ripe plums. In the mouth, the wine displays immense size, enormous concentration, a tremendous level of tannins, and an intense, alcoholic, long, opulent, low acid finish. Anticipated maturity: 1996-2015.|5|Red wine|5358|1500ml
Watermark2014 9Petrus 2005.jpg||M0000719|Petrus|AOC|1989|Pomerol||France||0|Red wine|5359|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 90 |M0000754|Mouton Rothschild|1er Cru|1989|Pauillac|HK$ 3,580.0|France||3|Red wine|5360|750ml
Watermark2014 8Henschke - Hill of Grace Shiraz 1990 JPEG.JPG|RP 95 |M0000147|Henschke - Hill of Grace Shiraz||1990|Eden Valley|HK$ 5,650.0|Australia|Medium brick in color, the 1990 Hill of Grace has a very pretty core of cherry cordial, violets, dried roses, cinnamon stick, anise and a whiff of pepper.|0|Red wine|5361|750ml
Watermark2014 9Chateau Calon Segur 1990.jpg|RP 87, WS 93 |M0000226|Calon Segur|3eme Cru|1990|St. Estephe|HK$ 1,690.0|France|An amber/orange edge to the color suggests full maturity, and the aromas and flavors confirm it. The medium-bodied 1990 Calon Segur exhibits sweet cedar, currant, herb, plum, and kirsch notes along with a dusty earthiness. There is a sensuality and sexiness to it because of its full maturity.|0|Red wine|5362|750ml
Watermark2014 9Chateau Ducru Beaucaillou 1990.jpg|RP 89 |M0000353|Ducru Beaucaillou|2eme Cru|1990|Saint-Julien|HK$ 1,490.0|France||0|Red wine|5364|750ml
|RP 95 |M0000558|Trotanoy|AOC|1990|Pomerol|HK$ 2,800.0|France||1|Red wine|5365|750ml
Watermark2014 9Leoville Lascases 1994.jpg|RP 96 |M0000782|Leoville Las Cases|2eme Cru|1990|Saint Julien|HK$ 2,850.0|France||0|Red wine|5366|750ml
Watermark2014 9Chateau Margaux 1991.jpg|RP 88 |M0000404|Margaux|1er Cru|1991|Margaux|HK$ 3,600.0|France|A pretty wine to smell and taste. Impressive fruit and wood accented by silky tannins.|1|Red wine|5368|750ml
Watermark2014 2Palmer 2009 1500ml JPEG.jpg||M0000757|Palmer|3eme Cru|1991|Margaux|HK$ 1,480.0|France||0|Red wine|5369|750ml
Watermark2014Mouton Rothschild 1992jpg.jpg|RP 88 |M0000103|Mouton Rothschild|1er Cru|1992|Pauillac|HK$ 3,390.0|France||1|Red wine|5370|750ml
Watermark2014 9Chateau Haut Brion 1992.jpg||M0000366|Haut Brion|1er Cru|1992|Pessac Leognan|HK$ 2,999.0|France|This wine is an immensely successful effort for the vintage, with elegance, sweetness, and a medium plum/garnet color already beginning to show some lightening at the edge. The wine shows good cedary, spice box, cigar, and tobacco notes intermixed with minerals, sweet plum, and cherry. The finish is a bit short and attenuated, but the aromatics, attack, and mid-palate are delicious.|0|Red wine|5371|750ml
Watermark2014Cheval Blanc 1993 JPEG.jpg|RP 87 |M0000110|Cheval Blanc|1er GCC A|1993|St. Emilion|HK$ 3,300.0|France||4|Red wine|5372|750ml
Watermark2014Margaux 1993jpg.jpg|RP 88 |M0000118|Margaux|1er Cru|1993|Margaux|HK$ 3,500.0|France||2|Red wine|5373|750ml
Watermark2014 9Leoville Lascases 1994.jpg|RP 94 |M0000696|Leoville Las Cases|2eme Cru|1993|Saint Julien|HK$ 1,500.0|France||0|Red wine|5374|750ml
||M0000721|Trotanoy|AOC|1993|Pomerol||France||0|Red wine|5375|750ml
|RP 91 |M0000763|Penfolds Grange||1993|South Australia|HK$ 3,300.0|Australia||2|Red wine|5376|750ml
|RP 93 |M0000770|Domaine Armand Rousseau Chambertin G Cru Clos de Beze|Grand Cru|1993|Burgundy|HK$ 12,800.0|France||1|Red wine|5377|750ml
Watermark2014Dom. Rousseau Armand Chambertin 1993 jpg.jpg|RP 95 |M0000771|Domaine Armand Rousseau Chambertin G Cru|Grand Cru|1993|Burgundy|HK$ 15,000.0|France||1|Red wine|5378|750ml
Watermark2014 9Leoville Lascases 1994.jpg|RP 93 |M0000040|Leoville Las Cases|2eme Cru|1994|Saint Julien|HK$ 1,350.0|France|One of the more massive Medocs of the vintage, this opaque purple-colored wine exhibits fabulous richness and volume in the mouth. Layers of pure black-cherry and cassis fruit are intermixed with stony, mineral-like scents, as well as high quality toasty oak. Medium to full-bodied, with a sweet, rich entry, this wine possesses plenty of tannin, yet fabulous extract and length. Anticipated maturity: 2002-2025.|0|Red wine|5379|750ml
Watermark2014 6Angludet 1994 JPEG.jpg|RP 84, WS 84 |M0000204|Angludet|AOC|1994|Margaux|HK$ 398.0|France|This was not a good showing for this wine. The 1994 d'Angludet possesses attractive blackcurrant fruit, but since bottling, it appears to have gone into a shell, revealing hard, astringent tannin that dominates the wine's fragilely concentrated sweetness|6|Red wine|5381|750ml
Watermark2014 6Leoville Poyferre 1994 JPEG.jpg||M0000395|Leoville Poyferre|2eme Cru|1994|Saint Julien|HK$ 720.0|France|Leoville-Poyferre is making greater and greater efforts to push the quality level closer to that of its neighbor, Leoville-Las-Cases. The hiring of the famed oenologist, Michel Rolland, the beginning of malolactic fermentation in barrel (started in 1994), a stricter selection process, and the construction of a superb new cuverie are all signs that Leoville-Poyferre is set to emerge as one of the stars of the northern Medoc. The dark ruby/purple-colored 1994 offers up scents of toasty vanilla and sweet blackcurrant fruit. This medium-bodied claret possesses good fat, moderate tannin, and a traditional, backward, overall feel. Although still youthful, there is enough fruit to balance out the wine's tannin. This should develop into an excellent wine with 2-3 more years of cellaring. Anticipated maturity: 2000-2015.|0|Red wine|5382|750ml
||M0000560|Vega Silicia Unico||1994|Ribera del Duero||Spain||0|Red wine|5383|750ml
Watermark2014 8Le Pin 2005 JPG.jpg|RP 91 |M0000756|Le Pin|AOC|1994|Pomerol|HK$ 15,880.0|France||0|Red wine|5384|750ml
Watermark2014 2Palmer 2009 1500ml JPEG.jpg||M0000759|Palmer|3eme Cru|1994|Margaux|HK$ 1,250.0|France||0|Red wine|5385|750ml
Watermark2014 9Chateau La Pointe 1998.jpg||M0000055|La Pointe|AOC|1995|Pomerol|HK$ 440.0|France||0|Red wine|5386|750ml
Watermark2014 9Tertre Roteboeuf 1995.jpg||M0000106|Tertre Roteboeuf|AOC|1995|St. Emilion|HK$ 1,680.0|France|A very powerful, concentrated Tertre Roteboeuf, but completely closed at present, this wine has a deep ruby/purple color, and a sweet nose of black cherry and plum jam intermixed with hints of vanilla, chocolate, and espresso roast. The wine is medium to full-bodied, quite tannic, powerful. It requires much more cellaring than I originally anticipated. Anticipated maturity: 2005-2020.|0|Red wine|5387|750ml
Watermark2014 9Chateau Duhart - Milon 1995.jpg|RP 87 |M0000356|Duhart Milon (OWC)|4eme Cru|1995|Pauillac|HK$ 950.0|France||6|Red wine|5388|750ml
Watermark2014 9Chateau Gazin 1995.jpg||M0000361|Gazin|AOC|1995|Pomerol|HK$ 860.0|France|It is a deep ruby/purple-colored wine while it hints at some of its exotic grilled herb and meat-like character, the reluctant nose reveals primarily new oak, smoke, spice, and background jammy fruit. On the palate, the wine is deep, medium to full-bodied, refined, and except for some noticeably hard tannin in the finish, relatively seamless. This expansively-flavored wine offers plenty of spice, new oak, fruit, and depth. Anticipated maturity: 2002-2018.|0|Red wine|5389|750ml
Watermark2014 8Grand Puy Lacoste 1995 JPEG.jpg|RP 93 |M0000363|Grand Puy Lacoste (OWC)|5eme Cru|1995|Pauillac|HK$ 1,100.0|France|Gorgeously proportioned, medium to full-bodied, fabulously ripe, rich, cassis-scented. This classic Pauillac is a worthy rival to the other-worldly 1996. Anticipated maturity: 2002-2025.|11|Red wine|5390|750ml
Watermark2014 9La Reserves De General 1995.jpg||M0000374|La Reserves De General|2nd wine of Palmer|1995|Margaux|HK$ 599.0|France|Ruby red. The nose is creamy, reminiscent of coffee, and pencil.  Very nice palate. Concentrated and ripe fruit, almost juicy.  silky tannins, round and balanced taste. Long and pleasant finish.|0|Red wine|5391|750ml
Watermark2014 9Chateau Lafite Rothschild 1995.jpg|RP 96 |M0000376|Lafite Rothschild|1er Cru|1995|Pauillac|HK$ 27,800.0|France|It exhibits a dark ruby purple color, and a sweet, powdered mineral, smoky, weedy cassis-scented nose. Beautiful sweetness of fruit is present in this medium-bodied, tightly-knit, but gloriously pure, well-delineated Lafite. Anticipated maturity: 2008-2028.|1|Red wine|5392|3000ml
Watermark2014 8Lafon Rochet 1995 JPEG.jpg||M0000380|Lafon Rochet|4eme Cru|1995|St. Estephe|HK$ 599.0|France|it is an impressively endowed, rich, sweet cassis smelling and tasting Lafon-Rochet. The wine's impressively saturated deep ruby/purple color is accompanied by vanillin, earth, and spicy scents, medium to full body, excellent to outstanding richness, and moderate tannin in the powerful, well-delineated finish. Anticipated maturity: 2003-2018.|0|Red wine|5393|750ml
Watermark2014DRC Romanee-Conti 1996 jpg.jpg|RP 98 |M0000135|DRC Romanee-Conti|Grand Cru|1996|Burgundy|HK$ 115,000.0|France||1|Red wine|5394|750ml
Watermark2014 6Beaumont 1996 JPEG.jpg|WS 87 |M0000214|Beaumont|AOC|1996|Haut Medoc|HK$ 220.0|France|A pretty, balanced '96, with ripe berry character and fine tannins. Medium-bodied and harmonious, with a fine, silky texture.|0|Red wine|5395|750ml
Watermark2014 9Beausejour Heritiers Duffau Lagarosse 1996 JPEG.jpg|RP 87, WS 88 |M0000217|Beausejour Heritiers Duffau Lagarosse|1er GCC B|1996|St. Emilion|HK$ 799.0|France|The wine is dark ruby-colored, with attractive black raspberry, pronounced mineral characteristics this small vineyard produces. The wine was lighter and more angular than in cask tastings, with dry, astringent tannin in the moderately long finish. Antici|3|Red wine|5396|750ml
Watermark2014 9Chateau Beychevelle 1996.jpg|RP 86, WS 87 |M0000220|Beychevelle|4eme Cru|1996|Saint Julien|HK$ 999.0|France|Beychevelle's 1996 reveals an evolved, dark plum color. The nose offers toasty new oak in an open, charming style with berry fruit intermixed with spice. It is an uninspiring example, particularly for such a top-notch terroir, but the wine is medium-bodie|1|Red wine|5397|750ml
Watermark2014 9Carruades De Lafite 1996.jpg|RP 88 |M0000235|Carruades De Lafite|2nd wines of Lafite|1996|Pauillac|HK$ 3,150.0|France||6|Red wine|5398|750ml
Watermark2014 9Clos L Eglise 1996.jpg|RP 98, WS 94 |M0000252|Clos L Eglise|AOC|1996|Pomerol|HK$ 880.0|France|The 2009 is one of the sexiest wines in Pomerol in this vintage, offering up notes of melted caramel, sweet mocha, blackberry and black cherry fruit, with hints of loamy soil and unsmoked cigar tobacco as well as a touch of white chocolate and some subtle toasty oak. Round, opulent and unctuously textured, with a full-bodied mouthfeel, fabulous purity, and no hard edges, this sumptuous, fleshy, lavishly rich Pomerol can be drunk now and over the next 25 years.|12|Red wine|5399|750ml
||M0000314|Nederburg Chardonnay 1996||1996|Western Cape|HK$ 55.0|South Africa||31|White wine|5400|750ml
||M0000332|Zonnebloem Sauvignon Blanc||1996|Stellenbosch|HK$ 55.0|South Africa|Dry, very fresh, aromatic flavor with hints of nettles, pear and lime.|2|White wine|5401|750ml
Watermark2014 9Chateau Duhart - Milon 1996.jpg|RP 90 |M0000357|Duhart Milon (OWC)|4eme Cru|1996|Pauillac|HK$ 950.0|France||11|Red wine|5402|750ml
Watermark2014 3Lafite Rothschild 1996 JEPG.jpg|RP 100 |M0000379|Lafite Rothschild|1er Cru|1996|Pauillac|HK$ 9,500.0|France|The wine exhibits a thick-looking, ruby/purple color, and a knock-out nose of lead pencil, minerals, flowers, and black currant scents. Extremely powerful and full-bodied, with remarkable complexity for such a young wine, this huge Lafite is oozing with extract and richness, yet has managed to preserve its quintessentially elegant personality. This wine is even richer than it was prior to bottling. Anticipated maturity: 2012-2050.|3|Red wine|5403|750ml
Watermark2014 9Les Forts De Latour 1996.jpg|RP 92 |M0000396|Les Forts De Latour|2nd wine of Latour|1996|Pauillac|HK$ 2,300.0|France|The dense ruby/purple-colored 1996 Les Forts de Latour is exceedingly tannic, with cassis and mushroom-like notes in the aromatics. This full-bodied wine is impressively constituted and one of the finest Forts de Latours of the last two decades. Anticipated maturity: 2005-2018.|21|Red wine|5404|750ml
||M0000814|Klein Constantia Sau. Blanc||1996|Western Cape|HK$ 55.0|South Africa||34|White wine|5405|750ml
Watermark2014Pavie 2002jpg.jpg||M0000564|Pavie|1er GCC A|1997|St. Emilion||France||0|Red wine|5406|750ml
Watermark2014 8Latour 2003 JPEG.jpg|RP 91 |M0000724|Latour|1er Cru|1997|Pauillac|HK$ 4,550.0|France||38|Red wine|5407|750ml
|RP 94 |M0000762|Penfolds Grange||1997|South Australia|HK$ 3,300.0|Australia||1|Red wine|5408|750ml
Watermark2014 9Chateau Jean de Gue - Cuvee Prestige 1998.jpg||M0000056|Jean de Gue - Cuvee Prestige|AOC|1998|Lalande de Pomerol|HK$ 230.0|France||0|Red wine|5409|750ml
Watermark2014 9Chateau La Pointe 1998.jpg||M0000078|La Pointe|AOC|1998|Pomerol|HK$ 440.0|France|Soft, fruity, and diffuse, this elegant, lightweight effort is pleasant.|5|Red wine|5410|750ml
Watermark2014DRC Romanee-Conti 1998jpg.jpg||M0000136|DRC Romanee-Conti|Grand Cru|1998|Burgundy|HK$ 92,500.0|France||0|Red wine|5411|750ml
Watermark2014 9Chateau Bahans Haut Brion 1998.jpg|RP 88, WS 91 |M0000211|Bahans Haut Brion|2nd wine of Haut Brion|1998|Pessac Leognan|HK$ 978.0|France|It possesses a scorched earth, mineral, smoky, red and black currant-scented bouquet, terrific complexity, purity and elegance, and a harmonious palate. Tannin in the finish suggests 1-2 years of cellaring may be required.|0|Red wine|5412|750ml
Watermark2014 6Barde Haut 1998 JPEG.jpg|RP 90, WS 92 |M0000212|Barde Haut - OWC|Grand Cru Classes|1998|St. Emilion|HK$ 399.0|France|A deep ruby/purple color is accompanied by pure, sweet aromas of blackberry and blueberry jam revealing nicely integrated oak. This wine exhibits medium to full body, a fat, concentrated mid-palate with structure as well as definition, admirable length an|21|Red wine|5413|750ml
Watermark2014 6Beauregard 1998 JPEG.jpg|RP 88, WS 92 |M0000215|Beauregard|AOC|1998|Pomerol|HK$ 599.0|France|The deep ruby/purple-colored 1998 Beauregard exhibits a perfume of smoke, black cherry cough syrup, chocolate, and smoky wood. Thick, tannic, and medium to full-bodied,|6|Red wine|5414|750ml
Watermark2014 9Chateau Lafite Rothschild 1998.jpg|RP 98 |M0000377|Lafite Rothschild|1er Cru|1998|Pauillac|HK$ 7,500.0|France|This opaque purple-colored 1998 is close to perfection. The spectacular nose of lead pencil, smoky, mineral, and black currant fruit soars majestically from the glass. The wine is elegant yet profoundly rich, revealing the essence of Lafite's character. The tannin is sweet, and the wine is spectacularly layered yet never heavy. The finish is sweet, super-rich, yet impeccably balanced and long (50+ seconds). Anticipated maturity: 2007-2035.|22|Red wine|5415|750ml
Watermark2014 6Lagrange 1998 JPEG.jpg|RP 86 |M0000381|Lagrange|3eme Cru|1998|Pomerol|HK$ 490.0|France|This dark ruby-colored, elegant, attractive effort offers spicy new oak, medium body, excellent concentration as well as depth, surprising softness, and early appeal. As with many Medocs, Lagrange’s tannins have become much friendlier after bottling. Anticipated maturity: Now-2015. Last tasted, 3/02.|0|Red wine|5416|750ml
||M0000695|Gruaud Larose|2eme Cru|1998|Saint Julien||France||0|Red wine|5418|750ml
Watermark2014 9Chateau Pontet-Canet 2003.jpg||M0000708|Pontet Canet|5eme Cru|1998|Pauillac|HK$ 800.0|France||14|Red wine|5419|750ml
Watermark2014 9Petrus 2005.jpg||M0000750|Petrus|AOC|1998|Pomerol||France||0|Red wine|5420|750ml
Watermark2014Pavie 2002jpg.jpg||M0000857|Pavie|1er GCC A|1998|St. Emilion||France||0|Red wine|5421|750ml
Watermark2014Dom. Comte Georges de Vogue Bonnes-Mares 1999 jpg.jpg|RP 91 |M0000119|Domaine Comte Georges de Vogue Bonnes-Mares|AOC|1999|Burgundy|HK$ 4,000.0|France||0|Red wine|5422|750ml
Watermark2014Dom. Comte Georges de Vogue 1er Cru 1999 JPEG.jpg|RP 88 |M0000121|Dom. Comte Georges de Vogue|AOC|1999|Burgundy|HK$ 2,390.0|France||1|Red wine|5423|750ml
Watermark2014DRC Romanee-Conti 1999jpg.jpg|RP 99 |M0000137|DRC Romanee-Conti|Grand Cru|1999|Burgundy|HK$ 138,000.0|France||1|Red wine|5424|750ml
Watermark2014 9Carruades de Lafite 1.5L 1999 JPEG.jpg|RP 89, WS 90 |M0000233|Carruades De Lafite|2nd wines of Lafite|1999|Pauillac|HK$ 5,999.0|France|The elegant second wine, 2001 Carruades de Lafite reveals notions of lead pencil shavings intertwined with cherry, currant, cranberry, and wet stone-like aromas.|1|Red wine|5425|750ml
Watermark2014 9Chateau Cheval Blanc 1999.jpg|RP 93, WS 91 |M0000245|Cheval Blanc|1er GCC A|1999|St. Emilion|HK$ 3,800.0|France|The complex, explosively fragrant 1999 Cheval Blanc is a blend of 59% Merlot and 41% Cabernet Franc. The color is a dense ruby with purple nuances. Once past the blockbuster bouquet of menthol, leather, black fruits, licorice, and mocha, the wine reveals medium body, extraordinary elegance, purity, and sweet, harmonious flavors with no hard edges. This is a seamless beauty of finesse, charm, and concentration.  Anticipated maturity: 2006-2022.|13|Red wine|5426|750ml
Watermark2014 9Chateau La Tour Haut Brion 1999.jpg||M0000375|La Tour Haut Brion|AOC|1999|Pessac Leognan|HK$ 999.0|France|It is a sexy, open-knit, deep ruby-colored effort, exhibiting a smoky nose of melted asphalt, truffles, cassis, and tobacco, enticing sweetness on the attack, low acidity, and a smoky, ripe rich finish. Drink this captivating, complex Graves over the next 10-15 years.|1|Red wine|5427|750ml
|RP 94 |M0000559|Vega Silicia Unico||1999|Ribera del Duero|HK$ 2,800.0|Spain||6|Red wine|5428|750ml
|RP 90 |M0000714|Valandraud|1er GCC B|1999|St. Emilion|HK$ 1,900.0|France||12|Red wine|5429|750ml
Watermark2014Pavie 2002jpg.jpg||M0000716|Pavie|1er GCC A|1999|St. Emilion||France||0|Red wine|5430|750ml
||M0000072|Tour Saint Andre|AOC|2000|Lalande de Pomerol|HK$ 168.0|France||0|Red wine|5431|750ml
Watermark2014 3Carruades De Lafite 2000 JPEG.jpg|RP 90, WS 89 |M0000237|Carruades De Lafite|2nd wines of Lafite|2000|Pauillac|HK$ 7,700.0|France|The second wine, which has soared in quality over the last decade, is an outstanding effort displaying a character similar to that of Lafite, without the size, depth, and aging potential of that wine. The 2006 Carruades de Lafite offers up aromas of graphite, cedar, black currants, sweet cherries, and smoky herbs. This complex, more evolved, medium-bodied, silky-textured, sexy offering will provide plenty of pleasure over the next 15+ years. 2009-2024|5|Red wine|5432|750ml
Watermark2014 9Chateau d Armailhac 2000.jpg|RP 90 |M0000262|D Amailhac|5eme Cru|2000|Pauillac|HK$ 2,580.0|France||2|Red wine|5433|750ml
Watermark2014 6Dauzac 2000 JPEG.jpg|WS 91 |M0000263|Dauzac|5eme Cru|2000|Margaux|HK$ 520.0|France||1|Red wine|5434|750ml
